,Description,Time,Overall CoP Displacement
84,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",24.0,44.33437664899087
85,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",25.0,44.18223704727938
86,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",26.0,44.33953329884563
87,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",27.0,44.04256647095324
88,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",28.0,45.15941477405289
89,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",29.0,45.02723681690635
90,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",30.0,42.7900090243326
91,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",31.0,42.87893118959884
92,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",32.0,45.04805387994312
93,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",33.0,46.10225018805956
94,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",34.0,45.713873687786055
95,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",35.0,44.51338298885363
96,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",36.0,44.62235194074985
97,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",37.0,45.57211332194789
98,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",38.0,46.185767426628445
99,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",39.0,47.99559417735653
100,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",40.0,46.680115484017506
101,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",41.0,47.09861678771598
102,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",42.0,47.479309331786475
103,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",43.0,46.50181705796654
104,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",44.0,47.365751878472544
105,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",45.0,47.02828305685022
106,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",46.0,46.838367699484365
107,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",47.0,46.19816932059528
108,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",48.0,46.0555534411186
109,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",49.0,46.02135014768637
110,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",50.0,48.532646524501196
111,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",51.0,46.95060978667504
112,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",52.0,45.864570634559016
113,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",53.0,42.949900838407984
114,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",54.0,43.86933289772459
115,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",55.0,45.280361724086596
116,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",56.0,44.36860209240943
117,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",57.0,45.58394783050197
118,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",58.0,45.084668470167706
119,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",59.0,45.38021006640837
120,"Eyes closed, VR environment on, no music",0.0,48.38556495570527
121,"Eyes closed, VR environment on, no music",1.0,47.233804139977906
122,"Eyes closed, VR environment on, no music",2.0,47.07717649384535
123,"Eyes closed, VR environment on, no music",3.0,46.758902207272335
124,"Eyes closed, VR environment on, no music",4.0,46.328833773315644
125,"Eyes closed, VR environment on, no music",5.0,46.512919796818935
126,"Eyes closed, VR environment on, no music",6.0,46.94485838664515
127,"Eyes closed, VR environment on, no music",7.0,48.1521798822473
128,"Eyes closed, VR environment on, no music",8.0,45.9564548557709
129,"Eyes closed, VR environment on, no music",9.0,47.16273638726626
130,"Eyes closed, VR environment on, no music",10.0,46.90330348401706
131,"Eyes closed, VR environment on, no music",11.0,47.394261791539115
132,"Eyes closed, VR environment on, no music",12.0,47.29476274328007
133,"Eyes closed, VR environment on, no music",13.0,46.35799521152741
134,"Eyes closed, VR environment on, no music",14.0,46.87774447491337
135,"Eyes closed, VR environment on, no music",15.0,46.33954050617199
136,"Eyes closed, VR environment on, no music",16.0,45.50084291694641
137,"Eyes closed, VR environment on, no music",17.0,46.99756351036003
138,"Eyes closed, VR environment on, no music",18.0,46.72856527158997
139,"Eyes closed, VR environment on, no music",19.0,47.871048762086005
140,"Eyes closed, VR environment on, no music",20.0,47.792733354471814
141,"Eyes closed, VR environment on, no music",21.0,50.87022532556331
142,"Eyes closed, VR environment on, no music",22.0,47.60929578965692
143,"Eyes closed, VR environment on, no music",23.0,47.52424721328873
144,"Eyes closed, VR environment on, no music",24.0,47.50668884004433
145,"Eyes closed, VR environment on, no music",25.0,48.008914786075295
146,"Eyes closed, VR environment on, no music",26.0,47.68368684990492
147,"Eyes closed, VR environment on, no music",27.0,48.67391870226813
148,"Eyes closed, VR environment on, no music",28.0,49.24394519207975
149,"Eyes closed, VR environment on, no music",29.0,47.47558483234724
150,"Eyes closed, VR environment on, no music",30.0,48.63094238011697
151,"Eyes closed, VR environment on, no music",31.0,49.66740770720277
152,"Eyes closed, VR environment on, no music",32.0,47.96249924159675
153,"Eyes closed, VR environment on, no music",33.0,49.34924029215802
154,"Eyes closed, VR environment on, no music",34.0,49.545219212564476
155,"Eyes closed, VR environment on, no music",35.0,47.685713632178356
156,"Eyes closed, VR environment on, no music",36.0,49.29164635601999
157,"Eyes closed, VR environment on, no music",37.0,49.12477551819895
158,"Eyes closed, VR environment on, no music",38.0,49.4816719804744
159,"Eyes closed, VR environment on, no music",39.0,50.289978956852806
160,"Eyes closed, VR environment on, no music",40.0,49.9125104627721
161,"Eyes closed, VR environment on, no music",41.0,49.405579298700694
162,"Eyes closed, VR environment on, no music",42.0,49.88168272888318
163,"Eyes closed, VR environment on, no music",43.0,49.32569247965096
164,"Eyes closed, VR environment on, no music",44.0,48.894334805094125
165,"Eyes closed, VR environment on, no music",45.0,49.81534115189142
166,"Eyes closed, VR environment on, no music",46.0,49.851754705034885
167,"Eyes closed, VR environment on, no music",47.0,49.449889754754714
168,"Eyes closed, VR environment on, no music",48.0,48.8742349111493
169,"Eyes closed, VR environment on, no music",49.0,50.0274913410239
170,"Eyes closed, VR environment on, no music",50.0,49.17634355725035
171,"Eyes closed, VR environment on, no music",51.0,49.881214600180435
172,"Eyes closed, VR environment on, no music",52.0,48.56876627386548
173,"Eyes closed, VR environment on, no music",53.0,47.86434466611535
174,"Eyes closed, VR environment on, no music",54.0,48.4092612716043
175,"Eyes closed, VR environment on, no music",55.0,47.54972757147901
176,"Eyes closed, VR environment on, no music",56.0,47.87090660172966
177,"Eyes closed, VR environment on, no music",57.0,48.68752432168193
178,"Eyes closed, VR environment on, no music",58.0,48.93849471935971
179,"Eyes closed, VR environment on, no music",59.0,49.3380352103051
180,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",0.0,44.79441031740488
181,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",1.0,44.470816332228324
182,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",2.0,44.76788460873412
183,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",3.0,43.67026605307064
184,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",4.0,44.09118452944751
185,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",5.0,43.085523322361766
186,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",6.0,43.58801975446737
187,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",7.0,43.33862231534407
188,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",8.0,44.6493895203659
189,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",9.0,43.62147126922192
190,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",10.0,43.41836696869995
191,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",11.0,42.67965934284094
192,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",12.0,41.81268887849142
193,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",13.0,42.164000314770774
194,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",14.0,43.19722455222503
195,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",15.0,43.715514840080964
196,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",16.0,43.295512066260805
197,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",17.0,43.64594444192094
198,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",18.0,43.3321181010953
199,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",19.0,44.0935665370535
200,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",20.0,43.20700562344072
201,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",21.0,44.00025691136924
202,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",22.0,44.45629065054313
203,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",23.0,44.13311354107379
204,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",24.0,44.26630584282208
205,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",25.0,43.84728308185459
206,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",26.0,44.999373283685905
207,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",27.0,44.033935601054104
208,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",28.0,45.38158021436508
209,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",29.0,45.269431451470325
210,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",30.0,43.81804947891927
211,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",31.0,43.818330981948606
212,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",32.0,44.54055450754864
213,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",33.0,44.29374396723341
214,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",34.0,45.0797311677442
215,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",35.0,44.70807966183029
216,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",36.0,44.382112934798684
217,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",37.0,44.10317075087074
218,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",38.0,45.076712687281
219,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",39.0,44.65984917775786
220,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",40.0,43.278787032002995
221,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",41.0,43.69451077300436
222,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",42.0,44.02848701836669
223,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",43.0,43.46513568408547
224,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",44.0,44.26812882633349
225,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",45.0,45.07489086586821
226,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",46.0,42.550942720816145
227,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",47.0,44.998047281226214
228,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",48.0,44.65123837669376
229,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",49.0,43.29764917121445
230,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",50.0,43.22766701978641
231,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",51.0,44.36991416634609
232,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",52.0,45.4609130489742
233,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",53.0,45.56809261617838
234,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",54.0,45.53011229434933
235,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",55.0,45.71542515870548
236,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",56.0,45.82572311757494
237,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",57.0,44.61931818270705
238,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",58.0,44.32737401488375
239,"Eyes closed, VR environment on, unmodified Mozart's Jupiter",59.0,44.608336917778935
240,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",0.0,42.77503144567324
241,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",1.0,41.52865760588149
242,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",2.0,39.15914924903855
243,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",3.0,37.311824119714736
244,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",4.0,38.82863051761341
245,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",5.0,36.29416656260039
246,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",6.0,38.16627483589196
247,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",7.0,40.24034247252668
248,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",8.0,40.33431226569329
249,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",9.0,42.56346113485014
250,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",10.0,43.58008407020019
251,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",11.0,41.76494497636337
252,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",12.0,41.14983721263872
253,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",13.0,37.10190975680996
254,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",14.0,37.655682955958994
255,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",15.0,37.803921616424354
256,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",16.0,40.18378786277984
257,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",17.0,43.03402680989809
258,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",18.0,45.0452006617189
259,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",19.0,45.57843122098822
260,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",20.0,45.0477007172381
261,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",21.0,44.210948660899504
262,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",22.0,42.000897929481184
263,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",23.0,39.7606292487139
264,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",24.0,39.01859354355846
265,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",25.0,38.962384347020894
266,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",26.0,38.67230522675014
267,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",27.0,41.628358704207216
268,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",28.0,45.28098259593371
269,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",29.0,46.124435158602736
270,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",30.0,47.224565173444596
271,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",31.0,45.08390276038904
272,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",32.0,41.1764084568583
273,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",33.0,36.91874827794522
274,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",34.0,36.2603605207231
275,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",35.0,36.95885208178425
276,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",36.0,38.53293262338438
277,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",37.0,42.59901441480344
278,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",38.0,43.372060988396186
279,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",39.0,45.48425256529317
280,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",40.0,46.355375531125546
281,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",41.0,43.05788303822136
282,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",42.0,39.83112276481903
283,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",43.0,38.649326927206914
284,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",44.0,37.8234475894166
285,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",45.0,40.02514834106372
286,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",46.0,40.22849587387339
287,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",47.0,40.78600982010092
288,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",48.0,43.049151212235174
289,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",49.0,44.207457452797286
290,"VR environment on and moving at 0.1 Hz, Mozart's Jupiter with loudness shifted at 0.1Hz",50.0,45.53870345450646
